component_id,arm,n_attempts,n_unique,unique_fraction,mean_position_entropy_nats,mean_pairwise_hamming_fraction,developability_pass_fraction_at_0_55,mean_full_heavy_developability_risk,mean_native_recovery,unique_fraction_seed_std,position_entropy_seed_std
V2C003,stage_a_antibody_bfn,24,20,0.8333333333333334,2.340645537396245,0.918780193236715,0.8333333333333334,0.46115,0.15625,0.0,0.042356534402890854
V2C003,proteinmpnn,24,5,0.20833333333333334,0.1416580531310334,0.10054347826086957,1.0,0.3881125,0.53125,0.10206207261596575,0.021569306418827157
V2C003,esm_if,24,3,0.125,0.23269540918280976,0.14824879227053142,0.8333333333333334,0.534475,0.4270833333333333,0.05892556509887896,0.10851909757307006
V2C004,current_bfn_disorder_on,24,20,0.8333333333333334,2.401938738386898,0.9343563512361466,1.0,0.4307458333333334,0.07598039215686277,0.0,0.005982998360483962
V2C004,current_bfn_disorder_off,24,20,0.8333333333333334,2.306498376342995,0.9213554987212277,1.0,0.4144291666666666,0.14460784313725494,0.0,0.020945324440991057
V2C004,stage_a_antibody_bfn,24,20,0.8333333333333334,2.3240234625786065,0.9205029838022165,1.0,0.4498166666666667,0.14460784313725494,0.0,0.04622748234086106
V2C004,proteinmpnn,24,24,1.0,0.44880341539899854,0.26705029838022165,1.0,0.3459125,0.23774509803921573,0.0,0.03254086300017982
V2C004,esm_if,24,3,0.125,0.027061246459137517,0.014279624893435632,0.0,0.6157291666666665,0.05637254901960786,0.10206207261596575,0.018095973438909917
V2C005,current_bfn_disorder_on,24,20,0.8333333333333334,2.438500890407752,0.9392419175027871,1.0,0.39315833333333333,0.05448717948717946,0.0,0.007997365151261128
V2C005,current_bfn_disorder_off,24,20,0.8333333333333334,2.3977017853138585,0.9319955406911931,1.0,0.40123749999999997,0.11217948717948716,0.0,0.02311409413702612
V2C005,stage_a_antibody_bfn,24,20,0.8333333333333334,2.3662482615023643,0.9264214046822743,1.0,0.4008708333333333,0.15064102564102563,0.0,0.014103251026049696
V2C005,proteinmpnn,24,7,0.2916666666666667,0.13135300111131654,0.07720178372352285,1.0,0.3283375,0.3076923076923077,0.05892556509887896,0.009189369126831505
V2C005,esm_if,24,1,0.041666666666666664,0.0,0.0,0.0,0.6181,0.15384615384615385,0.0,0.0
V2C006,current_bfn_disorder_on,24,20,0.8333333333333334,2.4379981811543967,0.9393592677345537,0.625,0.4843541666666667,0.07017543859649127,0.0,0.009171193826776091
